Time Doctor Sign (ms);Time Produce Derived Proof (ms);Time to Verify (ms)
267.63;337.09;148.01
242.65;317.44;174.17
281.07;373.63;198.23
235.92;317.99;170.90
255.57;354.41;170.33
259.51;321.78;178.09
224.16;358.53;169.93
226.08;337.08;183.88
249.66;302.84;229.17
237.07;368.00;200.50
303.47;316.44;169.99
239.70;355.87;185.13
303.16;332.17;175.82
239.01;304.16;187.53
231.73;321.68;189.81
266.42;325.20;212.09
255.25;306.46;159.79
289.38;341.92;211.45
253.29;342.22;190.05
227.71;330.33;191.00
253.77;363.16;174.35
261.21;304.34;162.29
237.12;377.04;212.59
242.60;319.25;177.54
243.44;304.65;167.55
264.63;391.66;183.01
242.28;324.65;164.15
264.11;364.96;179.42
309.78;366.28;195.91
225.13;316.93;168.94
278.28;356.29;199.76
245.78;343.33;188.41
227.47;328.14;205.68
306.01;322.87;157.21
232.64;306.69;218.92
296.32;335.87;176.95
250.99;320.72;159.04
244.93;362.05;191.55
268.81;312.04;195.13
241.37;316.91;150.86
250.32;314.00;171.45
248.65;392.07;172.79
237.53;359.61;199.14
257.31;333.54;170.52
286.28;354.06;187.42
222.20;324.38;211.62
231.92;315.87;162.21
249.56;317.66;209.00
262.07;374.01;171.73
245.64;307.10;178.06
253.63;366.80;171.78
263.93;317.42;269.71
221.13;314.11;155.03
260.33;334.80;204.31
239.63;378.66;188.84
228.56;369.46;158.64
241.82;313.19;165.38
288.60;356.37;168.12
246.72;308.91;218.81
318.31;312.58;176.19
248.32;305.69;199.16
281.53;359.32;213.15
236.71;318.39;163.84
230.25;310.81;208.29
308.03;397.66;160.68
226.89;325.10;208.19
293.40;350.79;173.58
248.96;320.85;177.56
248.95;319.79;169.91
233.42;311.47;181.10
286.02;305.61;177.25
264.16;333.99;193.03
320.09;303.06;178.61
231.61;349.92;190.54
248.60;375.95;167.31
271.53;319.24;165.78
235.04;332.79;168.12
305.79;362.79;183.30
258.65;348.31;161.87
292.25;321.12;212.24
263.47;316.42;177.55
233.79;323.63;191.90
246.19;328.76;166.26
248.22;316.33;180.61
284.30;316.57;211.74
314.29;314.52;174.90
230.62;356.80;202.66
242.79;379.54;272.31
300.01;351.29;225.46
253.89;359.54;167.09
252.09;330.54;181.66
235.23;333.65;186.07
245.93;351.50;176.24
247.52;394.49;225.01
243.18;323.77;172.69
281.94;299.91;163.96
242.36;356.39;197.48
238.28;329.57;214.19
232.64;304.12;194.95
273.93;305.27;173.10
286.11;375.54;187.61
229.13;374.15;204.35
239.44;366.34;175.52
266.48;319.13;168.25
247.35;318.68;159.88
248.05;333.53;159.05
266.44;346.20;194.41
229.75;365.14;169.90
249.26;363.91;200.06
258.29;314.41;172.24
274.52;357.26;188.79
246.42;411.59;196.08
228.17;353.25;173.42
284.59;307.41;205.99
264.82;310.91;178.77
239.22;337.75;166.12
260.68;326.18;162.44
350.18;313.79;190.52
233.57;330.23;165.86
259.52;312.87;190.06
237.10;318.88;160.79
235.58;362.87;164.10
225.26;316.58;160.58
229.82;331.16;167.36
273.75;311.73;213.78
313.21;372.02;165.09
243.00;355.45;223.51
235.13;372.13;200.54
266.42;331.43;168.25
227.23;335.26;190.40
242.94;347.56;194.37
254.88;363.43;193.75
230.48;338.23;162.14
276.80;353.08;164.32
236.16;324.45;195.89
235.63;336.13;176.41
223.88;368.59;195.46
221.45;334.92;180.44
261.54;322.54;229.38
234.62;355.77;166.24
227.56;338.25;150.21
238.10;325.84;190.26
228.86;383.47;184.24
237.43;362.72;173.56
263.23;331.26;171.41
246.78;346.56;196.22
228.65;323.92;161.03
288.93;301.25;174.78
250.28;380.03;178.67
243.76;340.12;168.03
232.44;355.44;166.71
251.60;330.12;201.35
313.67;327.72;217.13
235.82;371.66;172.73
316.48;334.38;180.58
227.11;321.24;170.99
259.53;348.19;184.57
243.12;340.09;159.99
226.18;327.72;170.58
264.23;313.22;168.53
260.78;365.80;171.19
248.92;372.39;173.28
325.46;318.77;152.71
265.74;375.84;243.78
229.28;375.36;177.96
256.72;318.89;156.59
313.76;350.04;168.10
258.73;350.90;179.15
